OBIS_Resource_Id;
scientificName;http://rs.tdwg.org/dwc/terms/scientificName
scientificNameAuthorship;http://rs.tdwg.org/dwc/terms/scientificNameAuthorship
kingdom;http://rs.tdwg.org/dwc/terms/kingdom
phylum;http://rs.tdwg.org/dwc/terms/phylum
class;http://rs.tdwg.org/dwc/terms/class
order;http://rs.tdwg.org/dwc/terms/order
family;http://rs.tdwg.org/dwc/terms/family
genus;http://rs.tdwg.org/dwc/terms/genus
subgenus;http://rs.tdwg.org/dwc/terms/subgenus
specificEpithet;http://rs.tdwg.org/dwc/terms/specificEpithet
intraspecificEpithet;http://rs.tdwg.org/dwc/terms/infraspecificEpithet
sex;http://rs.tdwg.org/dwc/terms/sex
lifeStage;http://rs.tdwg.org/dwc/terms/lifeStage
scientificNameID;http://rs.tdwg.org/dwc/terms/scientificNameID
decimalLongitude;http://rs.tdwg.org/dwc/terms/decimalLongitude
decimalLatitude;http://rs.tdwg.org/dwc/terms/decimalLatitude
coordinatePrecision;http://rs.tdwg.org/dwc/terms/coordinatePrecision
waterBody;http://rs.tdwg.org/dwc/terms/waterBody
country;http://rs.tdwg.org/dwc/terms/country
stateProvince;http://rs.tdwg.org/dwc/terms/stateProvince
county;http://rs.tdwg.org/dwc/terms/county
locality;http://rs.tdwg.org/dwc/terms/locality
minimumDepthInMeters;http://rs.tdwg.org/dwc/terms/minimumDepthInMeters
maximumDepthInMeters;http://rs.tdwg.org/dwc/terms/maximumDepthInMeters
verbatimDepth;http://rs.tdwg.org/dwc/terms/verbatimDepth
institutionCode;http://rs.tdwg.org/dwc/terms/institutionCode
collectionCode;http://rs.tdwg.org/dwc/terms/collectionCode
catalogNumber;http://rs.tdwg.org/dwc/terms/catalogNumber
otherCatalogNumbers;http://rs.tdwg.org/dwc/terms/otherCatalogNumbers
identifiedBy;http://rs.tdwg.org/dwc/terms/identifiedBy
dateIdentified;http://rs.tdwg.org/dwc/terms/dateIdentified
typeStatus;http://rs.tdwg.org/dwc/terms/typeStatus
recordNumber;http://rs.tdwg.org/dwc/terms/recordNumber
fieldNumber;http://rs.tdwg.org/dwc/terms/fieldNumber
recordedBy;http://rs.tdwg.org/dwc/terms/recordedBy
modified;
associatedReferences;http://rs.tdwg.org/dwc/terms/associatedReferences
bibliographicCitation;http://rs.tdwg.org/dwc/terms/bibliographicCitation
references;
basisOfRecord;http://rs.tdwg.org/dwc/terms/basisOfRecord
preparations;http://rs.tdwg.org/dwc/terms/preparations
occurrenceRemarks;http://rs.tdwg.org/dwc/terms/occurrenceRemarks
year;http://rs.tdwg.org/dwc/terms/year
month;http://rs.tdwg.org/dwc/terms/month
day;http://rs.tdwg.org/dwc/terms/day
dynamicProperties;http://rs.tdwg.org/dwc/terms/dynamicProperties
RelationshipType;http://rs.tdwg.org/dwc/terms/
RelatedCatalogItem;
individualcount;http://rs.tdwg.org/dwc/terms/individualCount
eventdate;http://rs.tdwg.org/dwc/terms/eventDate
